Ticker,Date,Time,Sentiment,Sentiment Score,News Headline,Summary,Source,URL
TSM,Jun-17-21,02:17AM,POSITIVE,0.995366096496582,Xi Jinping Picks Top Lieutenant to Lead Chinas Chip Battle Against U.S.,Xi’s economic czar spearheading initiative. Third-generation chip technology is a key priority for Beijing,Bloomberg,https://finance.yahoo.com/news/xi-jinping-picks-top-lieutenant-043048593.html
TSM,Jun-16-21,12:47PM,POSITIVE,0.9988053441047668,Should You Keep Your Taiwan Semiconductor (TSM) Position?,Taiwan Semiconductor Manufacturing Company Limited is in the fund’s top 5 holdings.,Insider Monkey,https://finance.yahoo.com/news/keep-taiwan-semiconductor-tsm-position-164753034.html
TSM,Jun-15-21,05:45PM,POSITIVE,0.7561236619949341,TSMC (TSM) Dips More Than Broader Markets: What You Should Know,chip company has moved 10.19% in the past month.,Zacks,https://finance.yahoo.com/news/tsmc-tsm-dips-more-broader-214509071.html
TSM,Jun-14-21,02:36PM,NEGATIVE,-0.897098958492279,Hedge Funds Never Been This Bullish On Taiwan Semiconductor Mfg. Co. Ltd. (TSM),Taiwan Semiconductor Co. Ltd. was in 76 hedge funds' portfolios at the end of March.,Insider Monkey,https://finance.yahoo.com/news/hedge-funds-never-bullish-taiwan-183650164.html
TSM,Jun-11-21,04:47PM,NEGATIVE,-0.9992960095405579,Finding the Best Semiconductor Stocks Amidst the Chip Shortage,"The world is likely in the deepest part of the shortage right now, analysts say. Tesla recently scrapped parts due to chip shortage",InvestorPlace,https://finance.yahoo.com/news/finding-best-semiconductor-stocks-amidst-204700300.html
TSM,Jun-09-21,08:59PM,POSITIVE,0.980364203453064,Biden Needs More Than $52 Billion to Counter China in Chips,U.S. Senate backs $52 billion bill to boost domestic production. China has made tech advances a major plank of its 14th plan,Bloomberg,https://finance.yahoo.com/news/biden-more-52-billion-counter-110311725.html
TSM,Jun-08-21,05:45PM,POSITIVE,0.8948327302932739,TSMC (TSM) Stock Sinks As Market Gains: What You Should Know,Semiconductor company has moved -1.95% in the past month.,Zacks,https://finance.yahoo.com/news/tsmc-tsm-stock-sinks-market-214509753.html
TSM,Jun-08-21,04:50AM,POSITIVE,0.7548653483390808,"UPDATE 1-Taiwan's May exports surge, COVID-19 may cloud outlook",Exports to China jump 29.5% year-on-year in May. Finance ministry expects June exports to rise +37% from a year earlier,Reuters,https://finance.yahoo.com/news/1-taiwans-may-exports-surge-085049838.html
TSM,Jun-07-21,10:49PM,NEGATIVE,-0.9991171956062317,UPDATE 1-Taiwan mayor says too early to say if tech hub safe from COVID spike,Mayor of Hsinchu says city has seen no impact so far from CO-19. TSMC says it has seen no impact so far from testing,Reuters,https://finance.yahoo.com/news/1-taiwan-mayor-says-too-024904673.html
TSM,Jun-07-21,10:19PM,POSITIVE,0.9980462789535522,Taiwan mayor says too early to say if tech hub safe from COVID spike,Mayor of Hsinchu says government is doing all it can to keep people safe. Tech hub is at the heart of global efforts to resolve chip shortage,Reuters,https://finance.yahoo.com/news/taiwan-mayor-says-too-early-021924679.html
TSM,Jun-07-21,07:30PM,NEGATIVE,-0.9819547533988953,"Japan Must Work With TSMC to Build Chip Base, Lawmaker Says","Government must be prepared to spend trillions of yen: Amari. Ministry of Economy, Trade and Industry issued report last week",Bloomberg,https://finance.yahoo.com/news/japan-must-tsmc-build-chip-233033375.html
TSM,Jun-07-21,06:00PM,NEGATIVE,-0.9980500340461731,GlobalFoundries Says IBM Demanding $2.5 Billion as IPO Nears,Semi-conductor maker says IBM is trying to extract ‘outrageous’ payment. Mubadala-backed GlobalFoundries is working with banks on IPO,Bloomberg,https://finance.yahoo.com/news/globalfoundries-says-ibm-demanding-2-205559230.html
TSM,Jun-05-21,09:23PM,NEGATIVE,-0.9975537657737732,Taiwan lifts toughest water curbs as rain eases drought,"Parts of Taichung, Changhua and Miaoli had been rationing water. Sub-tropical Taiwan is dealing with its worst drought in history",Reuters,https://finance.yahoo.com/news/taiwan-lifts-toughest-water-curbs-012312227.html
TSM,Jun-02-21,05:45PM,NEGATIVE,-0.9349358081817627,TSMC (TSM) Outpaces Stock Market Gains: What You Should Know,chip company has moved 2.73% over the past month.,Zacks,https://finance.yahoo.com/news/tsmc-tsm-outpaces-stock-market-214509647.html
TSM,Jun-02-21,09:40AM,POSITIVE,0.9983202219009399,10 Best Pharmaceutical Stocks to Buy According to Cathie Wood,Cathie Wood is the founder and CEO of ARK Investment Management. She mainly invests in companies with huge growth potential,Insider Monkey,https://finance.yahoo.com/news/10-best-pharmaceutical-stocks-buy-134006280.html
TSM,Jun-02-21,06:47AM,NEGATIVE,-0.9994625449180603,NXP to Mass Produce Two Automotive Processors Under TSM's 16-NM Technology,TSM starts construction of Arizona chip factory. The crisis is estimated to cost auto industry 0 billion in lost revenue,Benzinga,https://finance.yahoo.com/news/nxp-mass-produce-two-automotive-104728414.html
TSM,Jun-02-21,04:00AM,NEGATIVE,-0.988246738910675,NXP Ramps Automotive Processing Innovation with Two Processors on TSMC 16nm FinFET Technology,S32G2 vehicle networking and S32R294 radar processors on 16nm FinFET process.,GlobeNewswire,https://finance.yahoo.com/news/nxp-ramps-automotive-processing-innovation-080000713.html
TSM,Jun-01-21,07:00PM,POSITIVE,0.9699013829231262,TSMC Unveils Innovations at 2021 Online Technology Symposium,"N5A for state-of-the-art automotive applications, N6RF for next-generation 5G smartphone. TSMC to hold 2021 Technology Symposium online from June 1-2.",Business Wire,https://finance.yahoo.com/news/tsmc-unveils-innovations-2021-online-230000786.html
TSM,Jun-01-21,02:50PM,NEGATIVE,-0.9994494318962097,Semiconductor Chip Crisis Continues to Stimulate Chipmakers' Revenue: CNBC,Taiwan’s TSM generated 57% of global foundry revenue. Apple’s cryptocurrency mining hurt TSM’s 5nm revenue,Benzinga,https://finance.yahoo.com/news/semiconductor-chip-crisis-continues-stimulate-185029268.html
TSM,Jun-01-21,02:25PM,POSITIVE,0.7902730703353882,TSMC Says Construction of Arizona Chip Plant Is Well Underway,"Construction is ‘well under way,’ CEO says. U.S. needs more Taiwan capacity, Biden has said",Bloomberg,https://finance.yahoo.com/news/tsmc-says-construction-arizona-chip-182557932.html
